Travelling Companion,Continent,Country,Year,Percentage
WITH INCENTIVE GROUP,Europe,Spain,2016,0
OTHERS,Europe,Spain,2016,0
ALONE,Europe,Spain,2017,10.764
WITH SPOUSE,Europe,Spain,2017,34.0275
WITH CHILDREN,Europe,Spain,2017,0.347081
WITH FAMILY/RELATIVES,Europe,Spain,2017,12.1478
STUDENT GROUP,Europe,Spain,2017,0
WITH FRIENDS,Europe,Spain,2017,41.3252
WITH BUSINESS ASSOCIATE,Europe,Spain,2017,1.04124
WITH INCENTIVE GROUP,Europe,Spain,2017,0
OTHERS,Europe,Spain,2017,0.347081
ALONE,Europe,France,2016,19.3717
WITH SPOUSE,Europe,France,2016,40
WITH CHILDREN,Europe,France,2016,0.942408
WITH FAMILY/RELATIVES,Europe,France,2016,14.0314
STUDENT GROUP,Europe,France,2016,0.209424
WITH FRIENDS,Europe,France,2016,22.4084
WITH BUSINESS ASSOCIATE,Europe,France,2016,1.36126
WITH INCENTIVE GROUP,Europe,France,2016,0.104712
OTHERS,Europe,France,2016,1.57068
ALONE,Europe,France,2017,18.6867
WITH SPOUSE,Europe,France,2017,36.6626
WITH CHILDREN,Europe,France,2017,1.21021
WITH FAMILY/RELATIVES,Europe,France,2017,16.9459
STUDENT GROUP,Europe,France,2017,0
WITH FRIENDS,Europe,France,2017,25.2357
WITH BUSINESS ASSOCIATE,Europe,France,2017,0.157357
WITH INCENTIVE GROUP,Europe,France,2017,0
OTHERS,Europe,France,2017,1.1015
ALONE,Europe,Belgium,2016,31.1828
WITH SPOUSE,Europe,Belgium,2016,19.3548
WITH CHILDREN,Europe,Belgium,2016,2.15054
WITH FAMILY/RELATIVES,Europe,Belgium,2016,18.2796
